一级品类：001 生鲜日配，SKU数量：7177
一级品类：002 粮油调味，SKU数量：1906
一级品类：003 食品杂货，SKU数量：8075
一级品类：004 洗化部，SKU数量：4342
一级品类：005 百货部，SKU数量：9647
一级品类：006 针纺服饰部，SKU数量：3163
一级品类：007 家电部，SKU数量：264
一级品类：008 精品部，SKU数量：26
一级品类：009 进口商品，SKU数量：546
一级品类：010 优惠卡，SKU数量：180
一级品类：011 充值卡，SKU数量：1

二级品类-001生鲜日配：00101 蔬菜，SKU：536
二级品类-001生鲜日配：00102 水果，SKU：560
二级品类-001生鲜日配：00103 蛋类，SKU：78
二级品类-001生鲜日配：00104 水产，SKU：233
二级品类-001生鲜日配：00105 肉类，SKU：548
二级品类-001生鲜日配：00106 熟食加工，SKU：789
二级品类-001生鲜日配：00107 面食加工，SKU：372
二级品类-001生鲜日配：00108 早餐饮品，SKU：18
二级品类-001生鲜日配：00109 糕点加工，SKU：454

二级品类-002粮油调味：00201 米类，SKU：320
二级品类-002粮油调味：00202 面粉，SKU：180
二级品类-002粮油调味：00203 食用油，SKU：450
二级品类-002粮油调味：00204 调味品，SKU：680
二级品类-002粮油调味：00205 干货，SKU：276

二级品类-003食品杂货：00301 休闲零食，SKU：2800
二级品类-003食品杂货：00302 冲调饮品，SKU：1200
二级品类-003食品杂货：00303 方便速食，SKU：1500
二级品类-003食品杂货：00304 罐头，SKU：350
二级品类-003食品杂货：00305 糖果巧克力，SKU：2225

二级品类-004洗化部：00401 个人护理，SKU：2708
二级品类-004洗化部：00402 清洁用品，SKU：799
二级品类-004洗化部：00403 卫生用品，SKU：835

三级品类-00401个人护理：0040101 洗发，SKU：530
三级品类-00401个人护理：0040102 护发养发，SKU：140
三级品类-00401个人护理：0040103 美发，SKU：90
三级品类-00401个人护理：0040104 牙膏，SKU：377
三级品类-00401个人护理：0040105 牙刷，SKU：210
三级品类-00401个人护理：0040106 口腔护理附属，SKU：45
三级品类-00401个人护理：0040107 其他个人清洁，SKU：493
三级品类-00401个人护理：0040108 护肤品，SKU：656
三级品类-00401个人护理：0040109 美容用品，SKU：19
三级品类-00401个人护理：0040110 男士护理，SKU：148

四级品类-0040101洗发：004010101 去屑洗发水，SKU：142
四级品类-0040101洗发：004010102 柔顺洗发水，SKU：81
四级品类-0040101洗发：004010103 滋养修护洗发水，SKU：146
四级品类-0040101洗发：004010104 去油控油洗发水，SKU：52
四级品类-0040101洗发：004010105 清凉舒爽洗发水，SKU：14
四级品类-0040101洗发：004010106 防脱生发洗发水，SKU：22
